"SNP1" "SNP2" "SNP3" "SNP4" "SNP5" "SNP6" "SNP7" "SNP8" "SNP9" "SNP10" "SNP11" "SNP12" "SNP13" "SNP14" "SNP15" "SNP16" "SNP17" "SNP18" "SNP19" "SNP20" "SNP21" "SNP22" "SNP23" "SNP24" "SNP25" "SNP26" "SNP27" "SNP28" "SNP29" "SNP30" "SNP31" "SNP32" "SNP33" "SNP34" "SNP35" "SNP36" "SNP37" "SNP38"
"170" 7 2 2 19 12 12 5 8 11 12 2 8 10 9 10 3 4 5 11 9 2 0 2 10 7 3 0 2 9 14 17 8 7 11 9 10 1 5
"171" 5 5 9 11 20 4 3 8 14 5 1 8 8 16 10 13 10 0 16 18 3 3 6 8 9 1 2 4 11 29 12 9 4 7 7 17 1 2
"172" 2 6 6 11 23 7 4 12 11 10 0 9 7 18 13 10 7 5 11 14 2 4 6 7 3 8 5 6 6 12 20 8 4 22 15 12 5 2
"173" 3 4 3 18 5 8 2 20 9 14 3 6 7 21 18 9 6 4 19 7 5 0 1 5 7 8 3 1 7 28 26 14 5 8 10 11 2 3
"174" 1 4 4 7 9 11 10 19 8 7 2 14 11 23 15 2 4 10 14 16 2 1 1 20 5 15 3 3 9 22 29 6 5 10 19 14 6 3
"175" 5 6 4 0 0 10 5 10 11 11 1 10 12 14 8 9 8 2 18 8 0 0 1 10 3 7 2 2 10 22 14 7 3 10 7 11 2 4
"176" 8 6 3 25 20 11 19 5 13 8 4 18 8 24 21 11 10 12 1 18 5 0 6 12 3 11 6 3 26 26 22 10 4 14 14 15 6 5
"177" 8 2 6 14 9 5 1 11 15 13 1 8 6 22 19 6 11 4 13 17 3 3 1 3 3 7 0 1 6 18 22 6 4 11 17 11 1 2
"178" 3 8 6 6 11 11 5 17 14 10 6 7 6 17 22 4 6 6 14 14 3 4 2 7 3 18 1 4 6 20 24 19 7 17 7 13 3 3
"179" 1 7 6 7 3 5 5 14 7 6 1 7 5 17 13 5 7 1 17 17 5 1 0 3 4 9 5 3 3 15 22 24 6 11 12 10 1 1
"180" 5 8 3 17 25 8 15 23 13 14 1 10 9 27 32 7 9 7 21 21 6 4 0 6 9 8 5 1 12 19 15 17 7 9 7 14 8 4
"181" 5 6 3 12 10 6 14 16 10 7 0 12 9 30 27 11 7 2 17 13 4 1 2 10 9 12 4 3 15 23 19 8 7 18 11 14 2 0
"182" 5 3 7 5 7 5 3 17 12 8 3 5 3 6 9 4 11 5 17 8 1 2 1 5 3 3 2 2 5 25 10 7 8 11 8 8 0 1
"183" 9 5 4 11 6 3 5 12 16 10 1 7 10 12 19 11 10 6 15 17 3 2 3 5 4 13 4 2 11 21 25 12 7 15 8 8 5 0
"184" 7 3 5 5 2 4 2 8 8 5 2 8 10 24 19 9 7 9 12 20 1 0 3 3 3 5 3 4 12 12 31 10 8 8 6 10 0 3
"185" 11 4 7 13 6 5 5 9 15 8 3 7 19 16 21 8 8 11 20 5 3 3 3 3 6 17 3 5 11 18 19 10 8 17 10 19 5 3
"186" 2 3 4 1 10 3 4 6 7 7 5 5 12 8 17 3 11 1 12 10 4 4 0 3 13 1 0 3 5 14 17 8 9 7 7 10 3 1
"187" 1 2 5 2 4 1 1 12 10 1 1 5 7 19 10 6 10 2 9 13 5 1 1 8 4 2 0 2 7 7 11 11 6 10 11 12 1 2
"188" 3 3 1 0 0 6 6 6 11 2 2 5 4 9 16 5 7 7 5 4 5 2 3 4 2 7 2 0 10 14 11 11 4 14 5 5 3 1
"189" 2 3 1 12 9 3 4 4 10 3 0 6 6 8 13 2 10 4 1 6 3 0 0 6 1 6 6 1 4 1 16 6 3 3 4 7 1 3
"190" 2 5 10 26 18 9 6 11 15 9 3 12 18 21 16 7 15 13 15 31 1 2 5 6 3 8 5 2 17 24 8 17 8 13 17 5 8 6
"191" 4 7 5 0 0 13 6 15 11 10 0 9 8 3 18 8 13 5 9 16 5 2 0 4 11 14 3 4 6 12 24 7 4 7 9 13 1 0
"192" 12 8 13 18 15 13 20 16 13 14 2 30 26 31 20 8 15 8 25 37 3 3 7 12 7 13 1 8 16 41 34 11 6 8 24 17 2 1
"193" 4 5 6 23 21 6 10 17 16 11 2 3 10 18 24 12 8 7 9 20 5 3 2 5 1 9 2 2 4 24 14 12 2 7 12 17 1 2
"194" 5 5 3 34 15 4 3 19 16 10 1 14 7 13 25 8 14 6 12 11 5 1 2 6 2 12 1 3 5 15 17 11 6 12 12 14 4 4
"195" 4 3 7 0 0 4 2 17 8 10 0 10 15 14 20 12 7 5 15 27 1 2 0 3 2 6 4 2 7 18 16 9 11 11 22 13 3 3
"196" 5 5 4 3 3 15 8 20 21 15 1 7 11 20 27 7 9 10 9 20 4 10 2 10 4 12 4 1 8 15 13 14 6 5 16 14 3 1
"197" 5 3 1 22 9 12 3 17 14 9 3 10 9 22 21 8 8 9 25 13 6 3 1 4 8 10 6 4 15 27 21 7 3 6 10 22 4 3
"198" 10 8 3 12 11 14 7 17 15 20 2 14 16 20 21 4 12 8 17 16 3 3 3 5 3 22 5 1 13 27 21 17 8 7 14 15 3 2
"199" 4 7 7 18 22 5 6 17 18 9 0 14 6 17 20 7 19 8 17 8 4 2 3 10 5 12 4 1 14 27 37 17 10 10 12 12 0 3
"200" 0 4 1 2 6 3 4 16 8 7 0 3 6 8 15 4 7 4 8 8 4 5 1 3 4 10 1 1 4 12 13 4 12 3 12 8 1 1
"201" 6 6 6 24 8 12 10 18 15 9 4 10 3 21 24 7 12 9 20 33 8 3 0 8 4 8 2 1 10 26 12 18 9 10 18 10 3 1
"202" 4 7 8 15 19 7 3 15 14 9 1 11 16 14 28 10 19 8 11 9 5 0 4 4 0 10 3 2 11 28 9 9 3 16 15 2 3 2
"203" 6 1 11 28 19 2 8 18 17 9 2 6 6 29 25 8 9 5 12 13 5 3 1 6 3 13 1 5 7 24 23 19 13 14 9 7 5 1
"204" 13 8 11 0 0 13 8 13 20 11 2 17 9 19 23 13 7 11 18 17 10 3 2 10 6 13 4 5 10 18 19 10 9 12 16 13 2 0
"205" 7 10 8 18 11 4 4 25 22 6 2 10 9 18 17 5 16 2 16 17 5 6 2 5 6 9 4 1 6 18 16 17 5 5 23 10 2 1
"206" 5 6 3 6 12 6 8 15 12 11 5 8 12 18 24 10 5 5 12 17 0 2 0 7 4 15 1 4 7 16 30 10 5 12 15 4 3 4
"207" 4 7 4 4 3 9 3 11 21 6 1 6 14 6 10 6 12 3 6 10 5 0 0 7 1 13 2 3 4 24 8 3 5 10 10 7 1 0
"208" 9 6 5 16 12 3 7 4 9 13 3 6 11 15 26 11 11 5 14 13 4 3 2 7 6 13 4 0 8 18 22 15 17 23 19 9 6 2
"209" 1 11 1 11 10 2 7 11 14 7 1 7 9 16 19 8 7 4 17 13 2 1 1 6 6 4 2 3 7 13 13 8 2 6 17 11 0 0
"210" 7 13 3 17 13 5 5 17 9 3 4 24 8 19 12 11 20 12 22 25 4 4 2 7 9 9 2 2 5 39 31 13 7 15 13 15 3 4
"211" 10 5 4 11 18 8 3 14 17 4 1 2 10 7 18 13 15 7 13 4 4 1 4 15 1 5 2 1 7 14 20 11 10 5 18 15 2 1
"212" 2 8 4 17 9 8 9 20 25 11 1 10 12 36 24 5 8 6 18 17 4 2 1 8 3 14 3 2 10 38 25 10 9 16 20 10 2 3
"213" 4 1 2 8 7 6 2 9 8 3 2 4 12 10 14 2 9 3 11 11 0 1 0 1 1 8 3 2 7 17 13 5 6 5 10 8 1 3
"214" 2 8 3 18 13 8 9 11 16 7 0 10 9 14 18 2 9 8 6 8 3 2 0 5 0 5 1 8 8 15 25 14 14 7 17 12 6 0
"215" 6 5 5 3 5 3 4 12 17 7 0 3 11 9 27 1 15 7 14 6 1 4 3 2 2 9 1 1 16 18 10 4 6 12 12 11 1 0
"216" 4 1 7 9 12 2 4 15 14 6 3 10 5 19 28 8 13 8 10 6 5 2 1 8 2 5 4 8 16 26 22 13 7 11 6 11 3 0
"217" 6 7 5 7 8 4 5 13 19 9 1 14 13 26 22 8 15 3 13 17 3 0 1 4 0 5 1 4 7 14 17 12 4 9 9 10 1 0
"218" 6 8 9 8 18 7 4 6 10 4 1 13 15 23 14 4 12 7 10 10 3 2 2 9 6 8 2 9 6 22 35 7 6 4 8 17 1 4
"219" 6 5 6 5 8 3 4 10 22 7 3 13 11 11 15 3 20 3 18 17 4 3 3 11 3 7 3 6 9 24 22 17 14 15 6 12 3 1
"220" 7 4 2 12 3 4 3 10 9 8 1 6 8 20 27 7 13 9 16 8 1 0 0 4 2 8 4 2 7 17 14 18 5 8 17 11 1 3
"221" 4 1 8 8 23 6 4 9 12 2 3 3 5 13 16 7 3 4 8 9 3 0 1 1 2 5 4 1 10 15 13 14 7 9 5 20 0 1
"222" 5 6 10 13 12 11 6 18 9 5 2 14 8 15 26 7 19 6 8 16 7 1 3 12 4 17 3 2 8 20 24 19 9 14 15 16 3 4
"223" 1 3 7 12 18 14 2 7 15 12 1 5 13 14 13 11 11 5 10 10 6 1 1 10 6 12 5 0 9 21 20 24 7 13 14 16 4 1
"224" 7 3 1 2 5 5 1 6 7 5 1 3 5 11 11 3 9 4 7 1 2 0 0 4 2 8 2 1 8 5 7 10 3 8 18 6 4 0
"225" 5 2 2 12 10 13 6 11 12 11 2 12 5 29 25 7 14 5 12 11 2 0 0 1 2 2 2 1 7 12 6 14 9 6 7 10 4 0
"226" 6 2 4 5 7 7 9 14 9 8 3 14 0 19 20 6 12 6 17 18 3 1 0 4 1 3 4 3 12 18 13 15 7 10 9 21 0 1
"227" 10 6 8 13 12 13 6 11 14 15 2 9 10 13 18 6 6 7 18 31 5 2 2 10 2 3 1 2 10 22 29 14 5 20 11 20 3 1
"228" 1 3 3 10 12 9 5 17 18 13 5 9 7 15 25 5 6 5 17 20 2 1 3 5 5 8 3 3 5 30 17 6 4 7 12 16 1 0
"229" 3 4 9 9 6 4 2 12 5 12 1 10 8 8 11 6 5 2 11 21 3 0 1 6 4 13 4 3 3 24 25 9 13 6 16 7 1 3
"230" 10 3 3 8 12 8 5 27 9 13 1 10 9 12 21 9 7 6 16 16 4 1 2 8 2 10 3 3 12 19 13 7 13 6 8 13 2 4
"231" 6 5 5 24 9 14 4 17 22 8 3 12 9 20 31 14 7 6 14 14 4 2 0 7 5 13 1 4 12 30 30 12 7 12 18 21 2 5
"232" 2 2 3 9 8 16 7 10 7 6 0 3 9 21 16 11 17 4 15 9 3 2 3 0 4 7 1 5 5 16 9 6 9 13 6 12 2 2
"233" 4 4 4 7 10 4 7 12 7 7 3 4 4 18 10 3 8 5 9 8 0 4 1 6 4 7 4 3 6 8 19 12 6 4 5 12 1 1
"234" 2 11 4 24 25 7 9 16 24 5 3 17 13 25 20 4 17 1 17 21 7 3 3 11 6 1 4 6 7 35 33 5 8 13 16 10 3 1
"235" 4 1 7 4 11 5 4 17 16 3 1 7 7 16 24 7 16 8 26 9 4 2 3 7 6 8 2 5 8 15 15 11 7 5 13 11 1 3
"236" 2 12 7 0 0 8 3 14 28 2 3 2 24 15 12 4 5 4 15 12 1 1 2 8 7 6 0 5 5 31 22 15 10 8 10 14 3 3
"237" 6 9 4 9 6 1 1 15 9 4 3 5 5 13 8 9 10 3 11 13 2 3 0 2 3 2 1 2 7 18 13 8 13 3 8 12 3 3
"238" 2 4 8 12 16 8 6 13 9 11 1 15 10 27 28 4 14 6 18 13 3 0 0 6 3 13 3 2 8 25 18 2 7 8 11 16 1 1
"239" 6 7 8 2 8 2 10 7 22 4 2 7 4 9 4 3 7 8 11 7 3 2 1 5 3 8 1 1 8 22 12 10 4 7 13 9 5 3
"240" 1 0 2 7 12 3 1 6 9 7 1 10 5 15 17 3 5 2 11 15 5 2 0 6 3 5 2 6 5 9 28 4 4 9 14 12 1 1
"241" 8 4 6 17 16 9 8 17 22 10 2 10 18 10 15 5 15 7 14 19 4 5 2 7 4 12 4 5 10 30 24 18 10 11 19 11 5 4
"242" 9 6 10 20 28 8 8 12 19 15 3 17 5 17 16 10 8 6 23 24 6 6 4 13 9 18 3 2 17 31 34 21 13 13 21 27 5 0
"243" 6 6 2 7 3 4 8 12 13 8 7 8 10 15 13 7 12 3 26 21 8 0 0 4 4 5 3 2 10 34 18 6 2 7 7 11 3 3
"244" 11 12 5 6 8 6 6 12 13 19 1 17 11 29 16 10 11 10 8 12 3 6 2 9 7 10 5 4 13 16 31 15 5 8 10 15 0 2
"245" 6 4 7 10 6 10 6 22 21 6 3 9 4 26 29 13 15 11 19 18 6 1 6 3 10 17 9 1 10 15 30 9 5 20 23 11 3 4
"246" 4 3 6 9 5 11 4 13 20 11 2 8 6 21 20 7 8 13 18 13 4 2 0 10 0 6 1 3 14 21 19 5 7 11 15 6 3 3
"247" 7 11 3 24 17 7 10 16 24 17 4 14 5 22 34 6 27 7 26 19 6 3 2 12 12 17 6 5 13 27 29 15 8 12 21 14 5 5
"248" 3 6 7 21 19 4 4 13 15 6 1 16 9 14 9 4 6 5 12 9 6 3 2 3 8 11 2 4 7 25 10 8 6 11 10 15 2 4
"249" 6 10 3 24 26 7 13 19 16 10 5 17 26 30 22 8 15 11 15 13 5 6 4 7 6 12 2 5 12 28 23 8 5 14 10 17 4 2
"250" 6 10 4 18 23 13 8 9 15 6 1 10 9 20 11 8 16 8 10 20 7 3 1 7 2 3 1 3 6 7 19 13 4 6 11 14 2 2
"251" 3 2 3 7 11 8 6 6 13 4 5 13 11 16 11 7 6 9 8 15 5 1 1 3 4 11 2 7 14 11 16 12 8 7 6 6 4 2
"252" 3 4 5 1 2 3 6 14 9 5 2 5 10 12 8 5 11 2 15 6 1 2 3 2 3 7 0 3 3 22 15 12 7 7 18 9 2 0
"253" 8 12 11 17 21 7 16 15 16 9 1 7 7 13 16 6 11 8 13 17 3 1 1 8 3 9 7 6 4 21 23 10 7 5 9 13 4 1
"254" 7 4 8 17 10 7 4 11 18 11 1 9 9 18 19 4 8 4 16 22 6 4 3 5 5 11 6 5 8 9 35 12 8 14 10 5 8 2
"255" 4 4 11 12 6 5 2 14 22 3 2 11 8 18 22 6 11 2 21 12 6 2 0 5 6 8 5 4 7 29 26 9 5 6 15 8 4 1
"256" 8 4 2 6 5 10 6 5 9 10 2 5 10 18 11 5 11 6 14 11 1 5 1 10 7 7 2 2 4 30 14 8 10 9 8 8 5 5
"257" 5 8 3 13 10 4 2 6 15 5 1 10 14 19 24 11 7 4 13 13 3 2 2 7 7 7 7 0 17 21 13 12 2 7 13 19 3 1
"258" 4 4 5 15 8 2 9 18 10 17 1 10 14 38 19 5 16 13 17 16 4 3 1 3 6 11 3 0 15 35 15 18 12 8 12 14 8 1
"259" 7 6 1 12 16 3 10 14 22 10 2 10 6 19 20 11 9 4 18 18 3 6 2 10 8 13 2 3 9 16 35 16 7 10 18 15 3 2
"260" 11 3 4 4 6 4 2 12 11 1 2 13 16 10 16 2 9 5 12 4 6 3 4 4 1 4 3 2 3 23 15 5 10 5 10 8 1 1
"261" 9 7 6 7 15 5 6 8 10 11 4 10 9 22 14 9 6 4 17 18 4 4 7 5 1 26 4 1 7 14 22 12 9 10 17 15 1 3
"262" 8 4 8 7 14 8 15 9 8 5 3 17 7 14 19 8 5 5 10 19 0 2 2 4 2 10 5 6 8 13 27 15 5 12 6 4 3 2
"263" 5 6 5 4 3 3 6 7 16 8 2 11 10 15 16 5 9 7 19 9 3 2 1 2 4 12 1 2 9 15 12 11 6 14 14 2 3 2
"264" 5 3 4 6 11 5 4 14 14 6 1 11 15 17 15 9 8 3 21 13 3 2 1 3 8 11 1 2 11 23 20 7 8 10 15 12 2 3
"265" 8 6 5 17 27 14 4 13 21 15 6 18 9 26 24 7 12 10 15 14 3 3 3 8 6 11 1 5 4 26 11 13 11 14 16 12 8 2
"266" 8 8 1 10 16 10 5 12 16 10 1 17 19 17 26 9 12 7 17 14 4 3 2 3 7 14 3 4 8 23 32 12 6 12 19 6 3 3
"267" 9 11 4 19 43 16 8 14 20 9 3 11 14 31 18 10 13 13 13 11 5 1 1 8 6 17 5 3 9 25 30 16 9 9 18 12 0 1
"268" 4 6 9 3 8 9 6 12 18 2 3 7 6 18 22 3 6 13 20 11 9 1 3 4 2 11 2 0 6 15 12 12 8 8 13 9 10 2
"269" 3 5 4 21 15 3 6 8 6 7 1 1 5 16 18 9 15 4 10 6 6 2 3 5 8 11 1 2 8 15 19 11 5 10 19 9 5 0
"270" 4 5 7 11 22 8 8 22 11 9 1 9 3 19 16 1 10 7 11 14 1 4 3 4 8 12 0 4 7 16 20 13 4 15 10 8 4 1
"271" 5 9 3 8 9 7 14 11 20 19 4 12 15 16 18 11 5 6 24 10 4 2 3 10 9 7 3 3 11 22 14 13 6 13 8 8 2 2
"272" 4 6 9 17 18 2 6 14 18 9 1 11 13 33 27 8 9 4 19 12 6 6 1 11 13 4 2 1 15 29 19 10 14 18 12 13 4 1
"273" 3 7 4 14 29 10 7 11 20 15 1 13 4 20 29 9 7 9 16 13 3 1 1 5 7 17 3 3 14 19 20 15 5 15 25 12 11 1
"274" 3 6 9 11 13 5 3 17 13 12 6 16 19 18 22 18 5 6 19 17 4 2 2 8 3 7 2 6 9 13 27 8 9 7 10 10 5 1
"275" 5 4 7 10 6 7 3 11 23 7 2 8 13 17 10 4 4 5 13 12 0 0 4 3 4 5 2 3 3 25 21 14 8 5 14 15 2 0
"276" 10 12 6 12 8 9 13 12 9 23 1 7 19 22 29 7 16 3 18 13 4 1 3 6 5 17 3 3 7 33 28 17 10 13 20 17 5 1
"277" 6 10 13 19 15 8 5 18 15 12 0 16 9 12 16 8 18 6 19 9 1 4 2 8 3 13 3 3 15 25 26 9 0 8 18 10 2 2
"278" 2 9 2 7 12 3 12 4 6 5 1 9 12 11 9 6 6 4 8 8 1 2 3 4 0 3 2 1 4 12 16 12 5 4 8 11 2 1
"279" 1 5 8 1 1 0 1 8 16 5 2 1 8 0 3 1 8 3 5 3 2 2 3 3 2 1 1 0 6 8 6 7 4 3 12 7 0 0
"280" 1 6 5 9 9 1 5 16 18 1 3 9 0 10 19 4 7 6 14 12 10 2 3 11 10 4 4 3 5 18 15 10 5 7 16 5 4 2
"281" 5 6 2 9 12 4 5 13 25 4 2 6 9 16 18 6 13 4 18 11 3 4 2 6 4 4 1 6 9 22 15 10 6 16 16 9 3 3
"282" 2 1 4 0 0 2 6 11 10 4 1 4 10 14 18 3 8 0 10 3 3 0 0 3 2 3 0 2 1 5 12 15 3 11 2 3 0 0
"283" 7 4 6 18 20 9 4 15 21 6 3 6 15 12 24 13 14 2 9 16 5 0 3 7 3 4 2 0 12 27 22 13 7 11 19 9 3 4
"284" 3 4 8 24 13 11 6 18 22 13 3 17 12 13 22 5 13 6 17 24 2 3 3 14 8 17 0 3 8 26 21 13 7 2 26 22 2 3
"285" 8 10 7 0 0 14 15 26 12 8 6 12 10 28 23 5 14 4 19 10 11 3 5 6 5 16 4 4 13 21 22 8 5 13 14 15 4 6
"286" 6 2 4 15 4 5 3 4 13 11 1 7 3 13 8 11 8 6 9 9 2 2 0 3 6 4 7 5 8 15 14 15 10 10 23 11 1 3
"287" 9 11 5 20 36 10 10 14 14 15 2 11 15 14 22 7 10 8 25 15 0 0 0 7 7 12 2 3 9 22 26 5 6 9 22 10 2 2
"288" 3 5 10 11 14 6 3 20 8 8 3 9 4 27 19 9 7 6 23 15 7 2 0 6 6 7 5 5 8 18 17 17 7 10 16 7 2 6
"289" 7 3 9 7 8 7 5 11 23 6 3 9 10 23 22 8 10 2 21 10 2 1 1 2 3 15 6 3 7 28 25 11 12 8 21 15 4 0
"290" 5 6 7 9 6 3 4 8 13 15 1 18 17 23 13 2 10 4 11 12 3 0 1 4 2 18 1 2 4 20 13 8 1 14 6 13 2 2
"291" 4 8 5 20 16 5 7 9 17 12 0 10 8 14 24 5 12 3 17 16 8 2 7 6 5 4 6 2 7 29 18 9 3 4 16 16 6 1
"292" 10 2 8 26 26 9 9 25 8 4 1 13 7 18 40 13 14 6 16 19 8 5 1 7 6 22 8 4 14 28 18 13 9 25 21 22 2 9
"293" 4 13 7 9 7 6 12 21 17 13 4 3 18 32 19 11 21 2 18 14 7 2 3 12 1 12 1 6 6 17 20 9 4 12 5 9 2 2
"294" 3 3 6 20 28 7 8 14 20 9 1 9 8 11 27 9 18 9 26 20 4 0 2 8 4 23 3 7 11 21 13 9 2 14 17 18 2 0
"295" 3 2 6 4 3 3 1 13 11 4 0 5 6 10 7 2 4 1 20 4 2 0 1 3 3 0 0 1 7 9 14 11 6 4 5 6 1 3
"296" 5 10 8 4 4 1 2 6 18 4 3 14 8 22 12 8 5 8 8 13 6 5 1 4 9 7 3 4 7 13 9 6 8 9 6 13 0 6
"297" 7 9 12 13 3 8 8 18 24 9 2 12 15 25 23 5 13 4 16 21 5 0 1 2 7 12 1 2 7 20 24 10 7 20 32 15 5 1
"298" 9 9 4 11 12 12 6 25 12 13 1 7 5 23 19 13 22 10 18 20 1 4 2 12 4 6 3 4 12 30 26 10 4 12 14 16 1 1
"299" 5 3 6 19 10 7 6 10 9 9 0 5 9 23 12 7 11 4 11 12 2 3 1 4 4 6 2 2 8 15 6 13 5 12 21 8 4 2
"300" 1 7 3 0 0 0 1 8 9 5 2 10 9 13 14 6 7 8 21 7 4 3 1 8 4 6 1 2 3 22 15 15 5 4 9 15 3 5
"301" 7 8 9 14 7 1 6 12 12 6 2 11 10 15 23 9 10 3 12 12 2 2 1 10 3 12 2 3 5 36 10 19 8 12 17 23 1 3
"302" 5 8 14 7 9 9 7 18 16 11 2 14 9 9 11 7 9 17 19 19 2 2 1 8 3 11 1 7 14 22 21 9 8 13 21 11 3 1
"303" 1 3 1 8 6 3 10 11 14 17 3 12 2 22 8 3 11 5 7 4 2 1 1 1 4 5 3 3 9 12 17 3 4 8 12 13 0 3
"304" 5 4 3 13 10 12 8 14 12 3 3 11 10 18 16 3 10 9 19 15 2 1 4 7 2 9 4 1 12 18 17 14 4 9 14 10 3 5
"305" 1 6 5 15 16 7 9 14 8 4 0 9 11 8 29 4 7 9 18 22 2 2 0 7 6 4 2 7 7 15 21 10 10 13 14 15 4 5
"306" 9 5 2 8 6 7 5 13 11 9 2 11 7 14 13 6 9 3 16 16 6 2 1 11 3 8 3 3 5 17 25 6 4 10 7 7 5 1
"307" 8 7 6 10 21 6 8 14 9 5 5 8 12 30 12 3 2 13 24 13 5 1 2 3 7 5 4 8 11 20 19 11 8 16 16 24 7 3
"308" 5 7 3 9 12 4 10 8 17 10 1 4 8 10 8 6 10 6 8 17 4 2 3 10 8 16 2 3 11 27 10 8 4 7 15 11 4 1
"309" 0 3 4 23 38 10 7 10 14 10 5 7 10 36 22 2 12 8 13 15 5 4 0 11 3 12 2 3 4 30 20 9 10 14 6 8 5 0
"310" 10 10 12 15 14 8 5 8 21 10 3 13 10 13 21 9 6 1 17 9 2 0 2 2 4 8 3 5 8 33 9 11 11 10 13 5 4 4
"311" 7 7 6 5 11 13 12 13 10 5 2 12 6 18 12 5 5 12 5 3 2 3 1 7 1 19 1 1 5 12 12 15 13 4 9 12 3 2
"312" 7 5 4 31 20 2 8 23 34 14 3 10 9 21 26 11 11 2 25 23 4 1 1 7 6 18 4 3 10 15 23 11 3 11 22 11 1 2
"313" 8 5 6 18 12 6 5 20 11 9 4 10 13 25 27 6 11 9 12 25 2 4 3 7 3 10 2 3 9 28 25 11 5 14 8 7 8 3
"314" 5 5 10 12 21 17 5 12 19 12 1 16 2 21 14 9 12 5 23 18 4 4 2 12 9 15 6 2 9 22 21 13 9 10 16 16 3 0
"315" 1 3 6 15 19 3 10 9 9 6 3 8 9 14 9 10 7 12 5 5 4 0 1 5 3 14 2 3 7 22 7 16 13 19 9 4 6 1
"316" 3 4 5 21 33 8 11 16 19 15 3 10 11 19 16 5 12 3 24 24 3 3 5 5 4 14 4 3 7 12 22 16 3 18 18 17 1 0
"317" 9 10 3 0 0 9 6 14 17 13 5 14 6 18 6 10 6 6 25 19 3 3 3 6 10 9 1 4 11 27 20 14 5 16 8 11 1 4
"318" 4 7 3 6 5 3 4 7 11 4 2 7 3 7 3 8 5 2 16 23 2 2 2 2 9 4 4 2 6 19 10 7 8 12 9 8 1 3
"319" 7 5 7 0 0 19 8 4 17 11 2 6 4 22 12 8 10 6 11 18 4 1 0 5 5 12 2 3 13 23 33 7 12 14 13 6 3 2
"320" 5 5 2 9 18 7 4 11 15 6 4 5 2 22 20 7 14 10 10 16 1 4 0 5 10 14 5 3 10 25 25 8 6 7 8 10 8 2
"321" 2 7 5 9 12 8 7 15 7 5 2 9 7 15 16 9 14 4 7 6 3 3 1 3 3 10 3 3 12 22 17 14 8 15 9 9 2 2
"322" 3 2 7 19 14 10 4 9 12 8 3 15 6 26 13 2 10 5 13 12 2 2 3 3 4 12 4 4 11 36 18 10 2 14 8 19 2 0
"323" 8 10 10 23 24 15 6 13 13 10 3 22 18 26 30 11 11 5 28 15 1 4 3 14 2 13 5 5 11 19 22 19 2 3 3 14 9 1
"324" 6 9 3 13 8 6 7 13 12 11 0 13 10 49 19 4 11 4 18 8 4 4 2 3 5 4 1 3 9 12 20 16 5 8 10 14 2 1
"325" 2 10 9 24 27 22 14 23 14 12 4 14 11 26 16 5 12 14 21 19 8 5 0 11 8 17 9 2 15 17 25 16 12 11 20 8 4 4
"326" 5 10 7 0 0 5 4 7 18 6 7 8 13 31 23 6 13 4 12 8 4 0 2 7 6 10 3 2 11 27 26 13 4 11 15 11 2 5
"327" 6 4 4 6 11 4 8 15 14 10 4 11 9 20 13 7 10 11 13 10 4 1 1 7 4 15 2 2 8 20 21 17 7 8 10 8 6 6
"328" 3 2 4 9 8 6 10 9 19 8 1 4 5 11 11 6 16 1 8 7 4 2 2 3 2 5 5 3 5 10 22 7 6 5 9 10 3 0
"329" 1 4 4 0 0 6 9 7 18 6 7 8 11 19 11 12 8 1 14 12 2 4 3 9 5 10 4 4 7 11 20 19 10 8 12 17 2 1
"330" 3 4 6 8 6 11 10 16 13 11 1 6 5 24 24 21 8 10 16 12 6 4 3 4 5 13 1 7 8 22 23 7 7 9 15 12 2 1
"331" 3 6 5 6 9 14 8 19 9 4 4 6 10 15 12 6 12 3 7 16 4 4 1 4 2 10 2 3 5 24 26 16 1 6 15 15 3 3
"332" 6 4 4 0 0 11 4 15 7 5 1 10 9 13 11 7 11 8 18 10 3 2 1 3 11 6 6 0 11 19 14 6 2 10 18 19 1 1
"333" 4 5 3 27 17 7 6 23 18 6 2 10 4 17 23 8 8 10 14 24 3 4 0 8 5 11 2 2 14 30 16 14 8 11 18 9 10 1
"334" 7 5 10 3 7 3 7 10 14 8 4 12 10 10 10 10 10 8 10 9 2 0 2 2 4 6 4 2 7 12 20 11 4 6 21 19 4 1
"335" 4 2 3 8 8 4 7 4 14 8 2 8 4 8 14 5 4 6 10 8 3 3 2 3 3 7 1 0 9 6 22 5 4 6 11 8 1 0
"336" 9 4 3 7 17 7 8 10 4 7 4 18 8 16 23 9 10 5 21 9 5 0 2 6 4 12 3 0 5 28 18 6 6 10 11 10 1 0
"337" 2 4 5 5 5 5 7 3 9 7 0 7 4 19 16 3 6 2 11 14 2 4 0 9 4 4 2 2 4 21 19 9 5 8 12 18 4 3
"338" 2 4 4 0 0 5 4 4 18 10 0 10 12 38 31 8 12 4 11 16 5 2 1 10 2 7 2 6 18 19 24 15 4 17 16 29 3 0
"339" 5 4 9 9 22 8 6 21 16 4 5 6 12 14 16 6 18 8 11 25 3 1 3 6 3 11 3 2 13 23 31 11 13 10 10 14 6 2
"340" 9 12 3 13 22 8 9 13 9 16 1 11 26 14 21 13 14 6 10 30 8 1 2 8 4 12 5 8 7 25 28 20 14 11 21 5 1 6
"341" 8 4 7 7 9 9 8 16 10 8 4 3 15 16 20 11 13 2 32 14 3 2 0 4 3 7 3 4 4 25 17 9 8 20 13 17 0 3
